step,train_loss,val_loss,grad_norm,lr
100,5.136138916015625,5.126591205596924,2.121000289916992,0.0002805736835487436
200,3.453932285308838,3.3505237102508545,1.425693154335022,0.00021048909769293798
300,3.0259084701538086,3.0094292163848877,0.8963976502418518,0.00011747123846013445
400,2.8326416015625,2.901822805404663,0.8310337662696838,3.996376565777091e-05
500,2.971771478652954,2.8773632049560547,0.929462194442749,1e-05
